Time,Open,High,Low,Close,Volume
26.11.2012 00:00:00.000,1.29728,1.29735,1.29602,1.29624,3674060000.00
26.11.2012 01:00:00.000,1.29626,1.29660,1.29518,1.29526,3273780000.00
26.11.2012 02:00:00.000,1.29526,1.29557,1.29503,1.29530,2713380000.00
26.11.2012 03:00:00.000,1.29530,1.29615,1.29519,1.29610,2602000000.00
26.11.2012 04:00:00.000,1.29608,1.29614,1.29530,1.29585,1901320000.00
26.11.2012 05:00:00.000,1.29585,1.29617,1.29526,1.29553,1920020000.00
26.11.2012 06:00:00.000,1.29553,1.29584,1.29440,1.29568,3698620000.00
26.11.2012 07:00:00.000,1.29568,1.29843,1.29556,1.29717,7513570000.00
26.11.2012 08:00:00.000,1.29719,1.29751,1.29506,1.29517,9137790000.00
26.11.2012 09:00:00.000,1.29516,1.29691,1.29464,1.29689,8599200000.00
26.11.2012 10:00:00.000,1.29690,1.29703,1.29520,1.29663,6671630000.00
26.11.2012 11:00:00.000,1.29663,1.29806,1.29628,1.29661,7534310000.00
26.11.2012 12:00:00.000,1.29659,1.29705,1.29524,1.29605,6891980000.00
26.11.2012 13:00:00.000,1.29608,1.29752,1.29555,1.29716,8379120000.00
26.11.2012 14:00:00.000,1.29717,1.29731,1.29564,1.29634,8179870000.00
26.11.2012 15:00:00.000,1.29635,1.29743,1.29600,1.29643,9209090000.00
26.11.2012 16:00:00.000,1.29645,1.29669,1.29572,1.29656,6707680000.00
26.11.2012 17:00:00.000,1.29656,1.29741,1.29595,1.29595,4608340000.00
26.11.2012 18:00:00.000,1.29596,1.29661,1.29596,1.29616,3461710000.00
26.11.2012 19:00:00.000,1.29616,1.29655,1.29590,1.29630,3395630000.00
26.11.2012 20:00:00.000,1.29626,1.29717,1.29592,1.29687,3799730000.00
26.11.2012 21:00:00.000,1.29688,1.29727,1.29669,1.29716,1952940000.00
26.11.2012 22:00:00.000,1.29716,1.30064,1.29706,1.29937,6227350000.00
26.11.2012 23:00:00.000,1.29932,1.29932,1.29691,1.29880,4409840000.00
27.11.2012 00:00:00.000,1.29883,1.30087,1.29811,1.29897,7011130000.00
27.11.2012 01:00:00.000,1.29898,1.29990,1.29773,1.29793,4389280000.00
27.11.2012 02:00:00.000,1.29794,1.29862,1.29769,1.29817,2350320000.00
27.11.2012 03:00:00.000,1.29818,1.29839,1.29735,1.29819,2461060000.00
27.11.2012 04:00:00.000,1.29819,1.29891,1.29805,1.29861,2822270000.00
27.11.2012 05:00:00.000,1.29859,1.29886,1.29805,1.29870,3434860000.00
27.11.2012 06:00:00.000,1.29869,1.29914,1.29847,1.29901,3661970000.00
27.11.2012 07:00:00.000,1.29901,1.29985,1.29836,1.29920,7691740000.00
27.11.2012 08:00:00.000,1.29919,1.29953,1.29660,1.29777,9840400000.00
27.11.2012 09:00:00.000,1.29775,1.29803,1.29554,1.29615,9900670000.00
27.11.2012 10:00:00.000,1.29617,1.29620,1.29389,1.29444,10069590000.00
27.11.2012 11:00:00.000,1.29446,1.29513,1.29350,1.29513,8216180000.00
27.11.2012 12:00:00.000,1.29511,1.29686,1.29500,1.29635,8545930000.00
27.11.2012 13:00:00.000,1.29633,1.29690,1.29445,1.29458,11031110000.00
27.11.2012 14:00:00.000,1.29460,1.29485,1.29289,1.29398,12014750000.00
27.11.2012 15:00:00.000,1.29399,1.29437,1.29150,1.29309,12297880000.00
27.11.2012 16:00:00.000,1.29312,1.29420,1.29277,1.29390,7138130000.00
27.11.2012 17:00:00.000,1.29393,1.29437,1.29333,1.29384,3946600000.00
27.11.2012 18:00:00.000,1.29382,1.29385,1.29297,1.29336,4124570000.00
27.11.2012 19:00:00.000,1.29339,1.29356,1.29255,1.29330,5386170000.00
27.11.2012 20:00:00.000,1.29331,1.29357,1.29289,1.29298,4372270000.00
27.11.2012 21:00:00.000,1.29299,1.29443,1.29297,1.29422,2506400000.00
27.11.2012 22:00:00.000,1.29423,1.29452,1.29359,1.29370,1901190000.00
27.11.2012 23:00:00.000,1.29371,1.29430,1.29365,1.29372,3255600000.00
